
==== Debug session start 2025-09-20T03:32:39.707006 ====
2025-09-20T03:33:53.677510 RAW CO22: dt=1.989s resp=ff860c7640000200b6 val_raw=3190
2025-09-20T03:33:55.845819 RAW CO21: dt=2.191s resp=ff86086140000200cf val_raw=2145
2025-09-20T03:33:55.868674 RAW CO22: dt=2.191s resp=ff860c8740000200a5 val_raw=3207
2025-09-20T03:33:57.838505 RAW CO21: dt=1.993s resp=ff86080f4000020021 val_raw=2063
2025-09-20T03:33:57.861235 RAW CO22: dt=1.993s resp=ff860c8940000200a3 val_raw=3209
2025-09-20T03:34:00.026062 RAW CO21: dt=2.188s resp=ff8607bf4000020072 val_raw=1983
2025-09-20T03:34:00.048212 RAW CO22: dt=2.187s resp=ff860c8040000200ac val_raw=3200
2025-09-20T03:34:02.161380 RAW CO21: dt=2.135s resp=ff86078240000200af val_raw=1922
2025-09-20T03:34:02.183647 RAW CO22: dt=2.135s resp=ff860c8540000200a7 val_raw=3205
2025-09-20T03:34:04.432453 RAW CO21: dt=2.271s resp=ff86075040000200e1 val_raw=1872
2025-09-20T03:34:04.454479 RAW CO22: dt=2.271s resp=ff860c7940000200b3 val_raw=3193
2025-09-20T03:34:06.623086 RAW CO21: dt=2.191s resp=ff86071c4000020015 val_raw=1820
2025-09-20T03:34:06.645472 RAW CO22: dt=2.191s resp=ff860c5a40000200d2 val_raw=3162
2025-09-20T03:34:08.642954 RAW CO21: dt=2.020s resp=ff8606ef4000020043 val_raw=1775
2025-09-20T03:34:08.664976 RAW CO22: dt=2.019s resp=ff860c3740000200f5 val_raw=3127
2025-09-20T03:34:10.637406 RAW CO21: dt=1.994s resp=ff8606c3400002006f val_raw=1731
2025-09-20T03:34:10.659680 RAW CO22: dt=1.995s resp=ff860bfb4000020032 val_raw=3067
2025-09-20T03:34:12.617776 RAW CO21: dt=1.980s resp=ff8606a24000020090 val_raw=1698
2025-09-20T03:34:12.639988 RAW CO22: dt=1.980s resp=ff860bbb4000020072 val_raw=3003
2025-09-20T03:34:14.787130 RAW CO21: dt=2.169s resp=ff86068140000200b1 val_raw=1665
2025-09-20T03:34:14.810115 RAW CO22: dt=2.170s resp=ff860b6d40000200c0 val_raw=2925
2025-09-20T03:34:16.965549 RAW CO21: dt=2.178s resp=ff86065840000200da val_raw=1624
2025-09-20T03:34:16.988005 RAW CO22: dt=2.178s resp=ff860b094000020024 val_raw=2825
2025-09-20T03:34:19.208213 RAW CO21: dt=2.243s resp=ff86063c40000200f6 val_raw=1596
2025-09-20T03:34:19.231061 RAW CO22: dt=2.243s resp=ff860a91400002009d val_raw=2705
2025-09-20T03:34:21.223705 RAW CO21: dt=2.015s resp=ff860625400002000d val_raw=1573
2025-09-20T03:34:21.246305 RAW CO22: dt=2.015s resp=ff860a0b4000020023 val_raw=2571
2025-09-20T03:34:23.502270 RAW CO21: dt=2.279s resp=ff86061a4000020018 val_raw=1562
2025-09-20T03:34:23.524076 RAW CO22: dt=2.278s resp=ff86097140000200be val_raw=2417
2025-09-20T03:34:25.547785 RAW CO21: dt=2.046s resp=ff860605400002002d val_raw=1541
2025-09-20T03:34:25.570596 RAW CO22: dt=2.047s resp=ff8608d74000020059 val_raw=2263
2025-09-20T03:34:27.555161 RAW CO21: dt=2.007s resp=ff8605fd4000020036 val_raw=1533
2025-09-20T03:34:27.578164 RAW CO22: dt=2.008s resp=ff86086840000200c8 val_raw=2152
[AutoTune] Testing interval=1.7s jitter=±0.1s
2025-09-20T03:34:29.858817 RAW CO21: dt=2.304s resp=ff8605ee4000020045 val_raw=1518
2025-09-20T03:34:29.880800 RAW CO22: dt=2.303s resp=ff8607df4000020052 val_raw=2015
2025-09-20T03:34:31.665156 RAW CO21: dt=1.806s resp=ff8605e5400002004e val_raw=1509
2025-09-20T03:34:31.686894 RAW CO22: dt=1.806s resp=ff86079e4000020093 val_raw=1950
2025-09-20T03:34:33.418600 RAW CO21: dt=1.753s resp=ff8605e34000020050 val_raw=1507
2025-09-20T03:34:33.440072 RAW CO22: dt=1.753s resp=ff86078640000200ab val_raw=1926
2025-09-20T03:34:35.223209 RAW CO21: dt=1.805s resp=ff8605dc4000020057 val_raw=1500
2025-09-20T03:34:35.246039 RAW CO22: dt=1.806s resp=ff86075e40000200d3 val_raw=1886
2025-09-20T03:34:36.994582 RAW CO21: dt=1.771s resp=ff8605db4000020058 val_raw=1499
2025-09-20T03:34:37.017243 RAW CO22: dt=1.771s resp=ff86073b40000200f6 val_raw=1851
2025-09-20T03:34:38.810254 RAW CO21: dt=1.816s resp=ff8605dd4000020056 val_raw=1501
2025-09-20T03:34:38.832237 RAW CO22: dt=1.815s resp=ff860714400002001d val_raw=1812
2025-09-20T03:34:40.626989 RAW CO21: dt=1.817s resp=ff8605d24000020061 val_raw=1490
2025-09-20T03:34:40.649170 RAW CO22: dt=1.817s resp=ff860705400002002c val_raw=1797
2025-09-20T03:34:42.375308 RAW CO21: dt=1.748s resp=ff8605d04000020063 val_raw=1488
2025-09-20T03:34:42.397438 RAW CO22: dt=1.748s resp=ff8606f6400002003c val_raw=1782
2025-09-20T03:34:44.195991 RAW CO21: dt=1.821s resp=ff8605c9400002006a val_raw=1481
2025-09-20T03:34:44.219008 RAW CO22: dt=1.822s resp=ff8606e04000020052 val_raw=1760
2025-09-20T03:34:45.944447 RAW CO21: dt=1.748s resp=ff8605c24000020071 val_raw=1474
2025-09-20T03:34:45.967034 RAW CO22: dt=1.748s resp=ff8606c94000020069 val_raw=1737
2025-09-20T03:34:47.853549 RAW CO21: dt=1.909s resp=ff8605bc4000020077 val_raw=1468
2025-09-20T03:34:47.875962 RAW CO22: dt=1.909s resp=ff8606be4000020074 val_raw=1726
2025-09-20T03:34:49.722319 RAW CO21: dt=1.869s resp=ff8605c24000020071 val_raw=1474
2025-09-20T03:34:49.745001 RAW CO22: dt=1.869s resp=ff8606b4400002007e val_raw=1716
2025-09-20T03:34:51.625257 RAW CO21: dt=1.903s resp=ff8605c04000020073 val_raw=1472
2025-09-20T03:34:51.647830 RAW CO22: dt=1.903s resp=ff8606ae4000020084 val_raw=1710
2025-09-20T03:34:53.496239 RAW CO21: dt=1.871s resp=ff8605c24000020071 val_raw=1474
2025-09-20T03:34:53.518038 RAW CO22: dt=1.870s resp=ff86069e4000020094 val_raw=1694
2025-09-20T03:34:55.224073 RAW CO21: dt=1.728s resp=ff8605c14000020072 val_raw=1473
2025-09-20T03:34:55.246860 RAW CO22: dt=1.729s resp=ff8606a04000020092 val_raw=1696
2025-09-20T03:34:56.973154 RAW CO21: dt=1.749s resp=ff8605bc4000020077 val_raw=1468
2025-09-20T03:34:56.995369 RAW CO22: dt=1.749s resp=ff8606a04000020092 val_raw=1696
2025-09-20T03:34:58.715150 RAW CO21: dt=1.742s resp=ff8605c24000020071 val_raw=1474
2025-09-20T03:34:58.741286 RAW CO22: dt=1.746s resp=ff86069f4000020093 val_raw=1695
2025-09-20T03:35:00.623047 RAW CO21: dt=1.908s resp=ff8605c6400002006d val_raw=1478
2025-09-20T03:35:00.646011 RAW CO22: dt=1.905s resp=ff86069d4000020095 val_raw=1693
2025-09-20T03:35:02.531847 RAW CO21: dt=1.909s resp=ff8605c34000020070 val_raw=1475
2025-09-20T03:35:02.553748 RAW CO22: dt=1.908s resp=ff8606994000020099 val_raw=1689
2025-09-20T03:35:04.259824 RAW CO21: dt=1.728s resp=ff8605c4400002006f val_raw=1476
2025-09-20T03:35:04.282183 RAW CO22: dt=1.728s resp=ff86069b4000020097 val_raw=1691
2025-09-20T03:35:06.123297 RAW CO21: dt=1.863s resp=ff8605c34000020070 val_raw=1475
2025-09-20T03:35:06.145843 RAW CO22: dt=1.864s resp=ff86069b4000020097 val_raw=1691
2025-09-20T03:35:07.859517 RAW CO21: dt=1.736s resp=ff8605c14000020072 val_raw=1473
2025-09-20T03:35:07.882049 RAW CO22: dt=1.736s resp=ff860695400002009d val_raw=1685
2025-09-20T03:35:09.625103 RAW CO21: dt=1.766s resp=ff8605c34000020070 val_raw=1475
2025-09-20T03:35:09.647055 RAW CO22: dt=1.765s resp=ff860694400002009e val_raw=1684
2025-09-20T03:35:11.485844 RAW CO21: dt=1.861s resp=ff8605bb4000020078 val_raw=1467
2025-09-20T03:35:11.508013 RAW CO22: dt=1.861s resp=ff86069240000200a0 val_raw=1682
2025-09-20T03:35:13.368822 RAW CO21: dt=1.883s resp=ff8605b9400002007a val_raw=1465
2025-09-20T03:35:13.390752 RAW CO22: dt=1.883s resp=ff86069040000200a2 val_raw=1680
2025-09-20T03:35:15.139040 RAW CO21: dt=1.770s resp=ff8605bc4000020077 val_raw=1468
2025-09-20T03:35:15.162000 RAW CO22: dt=1.771s resp=ff86069140000200a1 val_raw=1681
2025-09-20T03:35:16.970696 RAW CO21: dt=1.832s resp=ff8605c14000020072 val_raw=1473
2025-09-20T03:35:16.992929 RAW CO22: dt=1.831s resp=ff86069240000200a0 val_raw=1682
2025-09-20T03:35:18.870003 RAW CO21: dt=1.899s resp=ff8605c24000020071 val_raw=1474
2025-09-20T03:35:18.892725 RAW CO22: dt=1.900s resp=ff86069140000200a1 val_raw=1681
2025-09-20T03:35:20.590567 RAW CO21: dt=1.721s resp=ff8605c4400002006f val_raw=1476
2025-09-20T03:35:20.613197 RAW CO22: dt=1.720s resp=ff86069140000200a1 val_raw=1681
2025-09-20T03:35:22.481990 RAW CO21: dt=1.891s resp=ff8605c24000020071 val_raw=1474
2025-09-20T03:35:22.504153 RAW CO22: dt=1.891s resp=ff86068c40000200a6 val_raw=1676
2025-09-20T03:35:24.380457 RAW CO21: dt=1.898s resp=ff8605c24000020071 val_raw=1474
2025-09-20T03:35:24.403091 RAW CO22: dt=1.899s resp=ff86068c40000200a6 val_raw=1676
2025-09-20T03:35:26.136999 RAW CO21: dt=1.757s resp=ff8605c7400002006c val_raw=1479
2025-09-20T03:35:26.159136 RAW CO22: dt=1.756s resp=ff86068c40000200a6 val_raw=1676
2025-09-20T03:35:28.064511 RAW CO21: dt=1.928s resp=ff8605c24000020071 val_raw=1474
2025-09-20T03:35:28.086985 RAW CO22: dt=1.928s resp=ff86068b40000200a7 val_raw=1675
2025-09-20T03:35:29.816000 RAW CO21: dt=1.751s resp=ff8605be4000020075 val_raw=1470
2025-09-20T03:35:29.838410 RAW CO22: dt=1.751s resp=ff86068a40000200a8 val_raw=1674
2025-09-20T03:35:31.719145 RAW CO21: dt=1.903s resp=ff8605c6400002006d val_raw=1478
2025-09-20T03:35:31.741219 RAW CO22: dt=1.903s resp=ff86068a40000200a8 val_raw=1674
2025-09-20T03:35:33.511515 RAW CO21: dt=1.792s resp=ff8605cd4000020066 val_raw=1485
2025-09-20T03:35:33.533577 RAW CO22: dt=1.792s resp=ff86068b40000200a7 val_raw=1675
2025-09-20T03:35:35.329069 RAW CO21: dt=1.818s resp=ff8605c9400002006a val_raw=1481
2025-09-20T03:35:35.351785 RAW CO22: dt=1.818s resp=ff86068940000200a9 val_raw=1673
2025-09-20T03:35:37.153873 RAW CO21: dt=1.825s resp=ff8605c9400002006a val_raw=1481
2025-09-20T03:35:37.176109 RAW CO22: dt=1.824s resp=ff86068740000200ab val_raw=1671
2025-09-20T03:35:38.987631 RAW CO21: dt=1.834s resp=ff8605c9400002006a val_raw=1481
2025-09-20T03:35:39.010285 RAW CO22: dt=1.834s resp=ff86068840000200aa val_raw=1672
2025-09-20T03:35:40.911803 RAW CO21: dt=1.924s resp=ff8605cd4000020066 val_raw=1485
2025-09-20T03:35:40.934185 RAW CO22: dt=1.924s resp=ff86068940000200a9 val_raw=1673
2025-09-20T03:35:42.674743 RAW CO21: dt=1.763s resp=ff8605cd4000020066 val_raw=1485
2025-09-20T03:35:42.696897 RAW CO22: dt=1.763s resp=ff86068a40000200a8 val_raw=1674
2025-09-20T03:35:44.426726 RAW CO21: dt=1.752s resp=ff8605cc4000020067 val_raw=1484
2025-09-20T03:35:44.448234 RAW CO22: dt=1.751s resp=ff86068740000200ab val_raw=1671
2025-09-20T03:35:46.332039 RAW CO21: dt=1.905s resp=ff8605cd4000020066 val_raw=1485
2025-09-20T03:35:46.354148 RAW CO22: dt=1.906s resp=ff86068c40000200a6 val_raw=1676
2025-09-20T03:35:48.064263 RAW CO21: dt=1.732s resp=ff8605cd4000020066 val_raw=1485
2025-09-20T03:35:48.086417 RAW CO22: dt=1.732s resp=ff86068c40000200a6 val_raw=1676
2025-09-20T03:35:49.807623 RAW CO21: dt=1.743s resp=ff8605d14000020062 val_raw=1489
2025-09-20T03:35:49.830443 RAW CO22: dt=1.744s resp=ff86068d40000200a5 val_raw=1677
2025-09-20T03:35:51.639424 RAW CO21: dt=1.832s resp=ff8605d6400002005d val_raw=1494
2025-09-20T03:35:51.661590 RAW CO22: dt=1.831s resp=ff86069040000200a2 val_raw=1680
2025-09-20T03:35:53.384772 RAW CO21: dt=1.745s resp=ff8605d5400002005e val_raw=1493
2025-09-20T03:35:53.406922 RAW CO22: dt=1.745s resp=ff86068f40000200a3 val_raw=1679
2025-09-20T03:35:55.244424 RAW CO21: dt=1.860s resp=ff8605cd4000020066 val_raw=1485
2025-09-20T03:35:55.266647 RAW CO22: dt=1.860s resp=ff86068c40000200a6 val_raw=1676
2025-09-20T03:35:57.034815 RAW CO21: dt=1.790s resp=ff8605d04000020063 val_raw=1488
2025-09-20T03:35:57.057643 RAW CO22: dt=1.791s resp=ff86068b40000200a7 val_raw=1675
2025-09-20T03:35:58.841469 RAW CO21: dt=1.807s resp=ff8605c4400002006f val_raw=1476
2025-09-20T03:35:58.864706 RAW CO22: dt=1.807s resp=ff86068a40000200a8 val_raw=1674
2025-09-20T03:36:00.620695 RAW CO21: dt=1.779s resp=ff8605c6400002006d val_raw=1478
2025-09-20T03:36:00.644219 RAW CO22: dt=1.780s resp=ff86068540000200ad val_raw=1669
2025-09-20T03:36:02.426038 RAW CO21: dt=1.805s resp=ff8605c7400002006c val_raw=1479
2025-09-20T03:36:02.447891 RAW CO22: dt=1.804s resp=ff86067e40000200b4 val_raw=1662
2025-09-20T03:36:04.249673 RAW CO21: dt=1.824s resp=ff8605c4400002006f val_raw=1476
2025-09-20T03:36:04.272108 RAW CO22: dt=1.824s resp=ff86067b40000200b7 val_raw=1659
2025-09-20T03:36:06.114543 RAW CO21: dt=1.865s resp=ff8605c24000020071 val_raw=1474
2025-09-20T03:36:06.137132 RAW CO22: dt=1.865s resp=ff86067640000200bc val_raw=1654
[AutoTune] Config (1.7, 0.1) score=1000000000.0 samples=0
[AutoTune] Testing interval=2.0s jitter=±0.2s
2025-09-20T03:36:07.839768 RAW CO21: dt=1.725s resp=ff8605c24000020071 val_raw=1474
2025-09-20T03:36:07.862505 RAW CO22: dt=1.725s resp=ff86067440000200be val_raw=1652
2025-09-20T03:36:10.127536 RAW CO21: dt=2.288s resp=ff8605bc4000020077 val_raw=1468
2025-09-20T03:36:10.150359 RAW CO22: dt=2.288s resp=ff86067340000200bf val_raw=1651
2025-09-20T03:36:12.376851 RAW CO21: dt=2.249s resp=ff8605be4000020075 val_raw=1470
2025-09-20T03:36:12.399031 RAW CO22: dt=2.249s resp=ff86067140000200c1 val_raw=1649
2025-09-20T03:36:14.608040 RAW CO21: dt=2.231s resp=ff8605bc4000020077 val_raw=1468
2025-09-20T03:36:14.629709 RAW CO22: dt=2.231s resp=ff86066c40000200c6 val_raw=1644
2025-09-20T03:36:16.808358 RAW CO21: dt=2.200s resp=ff8605bc4000020077 val_raw=1468
2025-09-20T03:36:16.830889 RAW CO22: dt=2.201s resp=ff86066440000200ce val_raw=1636
2025-09-20T03:36:19.077009 RAW CO21: dt=2.269s resp=ff8605bb4000020078 val_raw=1467
2025-09-20T03:36:19.099706 RAW CO22: dt=2.269s resp=ff86066940000200c9 val_raw=1641
2025-09-20T03:36:21.002865 RAW CO21: dt=1.926s resp=ff8605be4000020075 val_raw=1470
2025-09-20T03:36:21.025324 RAW CO22: dt=1.926s resp=ff86066640000200cc val_raw=1638
2025-09-20T03:36:23.321766 RAW CO21: dt=2.319s resp=ff8605be4000020075 val_raw=1470
2025-09-20T03:36:23.343902 RAW CO22: dt=2.319s resp=ff86066240000200d0 val_raw=1634
2025-09-20T03:36:25.584176 RAW CO21: dt=2.262s resp=ff8605c34000020070 val_raw=1475
2025-09-20T03:36:25.606766 RAW CO22: dt=2.263s resp=ff86066840000200ca val_raw=1640
2025-09-20T03:36:27.885573 RAW CO21: dt=2.301s resp=ff8605c4400002006f val_raw=1476
2025-09-20T03:36:27.908029 RAW CO22: dt=2.301s resp=ff86066640000200cc val_raw=1638
2025-09-20T03:36:29.851592 RAW CO21: dt=1.966s resp=ff8605c14000020072 val_raw=1473
2025-09-20T03:36:29.874472 RAW CO22: dt=1.966s resp=ff86066740000200cb val_raw=1639
2025-09-20T03:36:32.055991 RAW CO21: dt=2.204s resp=ff8605c04000020073 val_raw=1472
2025-09-20T03:36:32.078094 RAW CO22: dt=2.204s resp=ff86066a40000200c8 val_raw=1642
2025-09-20T03:36:34.102176 RAW CO21: dt=2.046s resp=ff8605c04000020073 val_raw=1472
2025-09-20T03:36:34.124286 RAW CO22: dt=2.046s resp=ff86066e40000200c4 val_raw=1646
2025-09-20T03:36:36.067051 RAW CO21: dt=1.965s resp=ff8605c34000020070 val_raw=1475
2025-09-20T03:36:36.089614 RAW CO22: dt=1.965s resp=ff86066c40000200c6 val_raw=1644
2025-09-20T03:36:38.035870 RAW CO21: dt=1.969s resp=ff8605c4400002006f val_raw=1476
2025-09-20T03:36:38.057802 RAW CO22: dt=1.968s resp=ff86067140000200c1 val_raw=1649
2025-09-20T03:36:40.163872 RAW CO21: dt=2.128s resp=ff8605c4400002006f val_raw=1476
2025-09-20T03:36:40.186776 RAW CO22: dt=2.129s resp=ff86066f40000200c3 val_raw=1647
2025-09-20T03:36:42.155000 RAW CO21: dt=1.991s resp=ff8605c5400002006e val_raw=1477
2025-09-20T03:36:42.177358 RAW CO22: dt=1.991s resp=ff86066940000200c9 val_raw=1641
2025-09-20T03:36:44.181784 RAW CO21: dt=2.027s resp=ff8605c4400002006f val_raw=1476
2025-09-20T03:36:44.204650 RAW CO22: dt=2.027s resp=ff86066740000200cb val_raw=1639
2025-09-20T03:36:46.299391 RAW CO21: dt=2.118s resp=ff8605c6400002006d val_raw=1478
2025-09-20T03:36:46.321188 RAW CO22: dt=2.117s resp=ff86066940000200c9 val_raw=1641
2025-09-20T03:36:48.521953 RAW CO21: dt=2.223s resp=ff8605c34000020070 val_raw=1475
2025-09-20T03:36:48.544636 RAW CO22: dt=2.223s resp=ff86066940000200c9 val_raw=1641
2025-09-20T03:36:50.514977 RAW CO21: dt=1.993s resp=ff8605ca4000020069 val_raw=1482
2025-09-20T03:36:50.537876 RAW CO22: dt=1.993s resp=ff86066540000200cd val_raw=1637
2025-09-20T03:36:52.704001 RAW CO21: dt=2.189s resp=ff8605c9400002006a val_raw=1481
2025-09-20T03:36:52.725914 RAW CO22: dt=2.188s resp=ff86066e40000200c4 val_raw=1646
2025-09-20T03:36:54.825587 RAW CO21: dt=2.122s resp=ff8605cb4000020068 val_raw=1483
