timestamp,elapsed_s,co2_1,co2_2
2025-09-19T14:47:00,1.091,749.0,874.0
2025-09-19T14:47:01,2.197,748.0,872.0
2025-09-19T14:47:02,3.304,746.0,870.0
2025-09-19T14:47:04,4.416,744.0,869.0
2025-09-19T14:47:05,5.544,746.0,866.0
2025-09-19T14:47:06,6.670,746.0,863.0
2025-09-19T14:47:07,7.799,746.0,860.0
2025-09-19T14:47:08,8.931,747.0,857.0
2025-09-19T14:47:09,10.057,742.0,853.0
2025-09-19T14:47:10,11.189,737.0,850.0
2025-09-19T14:47:11,12.312,739.0,847.0
2025-09-19T14:47:13,13.437,742.0,844.0
2025-09-19T14:47:14,14.564,738.0,841.0
2025-09-19T14:47:15,15.697,739.0,838.0
2025-09-19T14:47:16,16.824,741.0,832.0
2025-09-19T14:47:17,17.951,744.0,828.0
2025-09-19T14:47:18,19.083,747.0,828.0
2025-09-19T14:47:19,20.210,745.0,826.0
2025-09-19T14:47:20,21.342,742.0,824.0
2025-09-19T14:47:22,22.471,742.0,822.0
2025-09-19T14:47:23,23.598,740.0,820.0
2025-09-19T14:47:24,24.719,742.0,819.0
2025-09-19T14:47:25,25.849,740.0,818.0
2025-09-19T14:47:26,26.973,739.0,816.0
2025-09-19T14:47:27,28.103,740.0,813.0
2025-09-19T14:47:28,29.232,742.0,811.0
2025-09-19T14:47:29,30.356,740.0,811.0
2025-09-19T14:47:31,31.489,739.0,809.0
2025-09-19T14:47:32,32.608,738.0,807.0
2025-09-19T14:47:33,33.734,739.0,805.0
2025-09-19T14:47:34,34.864,738.0,802.0
2025-09-19T14:47:35,35.998,738.0,802.0
2025-09-19T14:47:36,37.129,739.0,799.0
2025-09-19T14:47:37,38.246,738.0,799.0
2025-09-19T14:47:38,39.359,738.0,797.0
2025-09-19T14:47:40,40.491,736.0,796.0
2025-09-19T14:47:41,41.620,736.0,794.0
2025-09-19T14:47:42,42.750,736.0,794.0
2025-09-19T14:47:43,43.878,737.0,792.0
2025-09-19T14:47:44,44.999,739.0,791.0
2025-09-19T14:47:45,46.128,738.0,788.0
2025-09-19T14:47:46,47.255,739.0,789.0
2025-09-19T14:47:47,48.367,738.0,787.0
2025-09-19T14:47:49,49.493,737.0,785.0
2025-09-19T14:47:50,50.609,739.0,786.0
2025-09-19T14:47:51,51.731,738.0,784.0
2025-09-19T14:47:52,52.861,738.0,783.0
2025-09-19T14:47:53,53.987,738.0,782.0
2025-09-19T14:47:54,55.102,738.0,780.0
2025-09-19T14:47:55,56.230,738.0,779.0
2025-09-19T14:47:56,57.360,741.0,779.0
2025-09-19T14:47:58,58.485,742.0,779.0
2025-09-19T14:47:59,59.606,739.0,779.0
2025-09-19T14:48:00,60.732,739.0,776.0
2025-09-19T14:48:01,61.859,739.0,775.0
2025-09-19T14:48:02,62.991,739.0,774.0
2025-09-19T14:48:03,64.116,739.0,772.0
2025-09-19T14:48:04,65.241,739.0,771.0
2025-09-19T14:48:05,66.366,738.0,769.0
2025-09-19T14:48:07,67.489,738.0,768.0
2025-09-19T14:48:08,68.620,738.0,767.0
2025-09-19T14:48:09,69.748,739.0,767.0
2025-09-19T14:48:10,70.856,741.0,767.0
2025-09-19T14:48:11,71.982,741.0,767.0
2025-09-19T14:48:12,73.112,739.0,767.0
2025-09-19T14:48:13,74.246,739.0,765.0
2025-09-19T14:48:15,75.372,740.0,765.0
2025-09-19T14:48:16,76.503,739.0,764.0
2025-09-19T14:48:17,77.640,740.0,762.0
2025-09-19T14:48:18,78.771,740.0,764.0
2025-09-19T14:48:19,79.907,731.0,764.0
2025-09-19T14:48:20,81.028,735.0,762.0
2025-09-19T14:48:21,82.165,734.0,763.0
2025-09-19T14:48:22,83.271,735.0,764.0
2025-09-19T14:48:24,84.389,739.0,764.0
2025-09-19T14:48:25,85.516,740.0,765.0
2025-09-19T14:48:26,86.643,743.0,769.0
2025-09-19T14:48:27,87.774,747.0,770.0
2025-09-19T14:48:28,88.895,750.0,773.0
2025-09-19T14:48:29,90.016,756.0,776.0
2025-09-19T14:48:30,91.144,760.0,777.0
2025-09-19T14:48:31,92.274,761.0,780.0
2025-09-19T14:48:33,93.380,766.0,783.0
2025-09-19T14:48:34,94.507,771.0,785.0
2025-09-19T14:48:35,95.634,772.0,786.0
